accepted_name,family,broader,establishment_means,park_list,voucher_exists,iNat_RG_record_exists
Cirsium vulgare,Asteraceae,3.dicot,introduced,,1,
Coreopsis lanceolata,Asteraceae,3.dicot,introduced,,,
Coronidium elatum,Asteraceae,3.dicot,native,1,1,1
Coronidium gunnianum,Asteraceae,3.dicot,native,1,,1
Coronidium rutidolepis,Asteraceae,3.dicot,native,1,1,1
Coronidium scorpioides,Asteraceae,3.dicot,native,1,1,1
Cotula australis,Asteraceae,3.dicot,native,,,
Cotula coronopifolia,Asteraceae,3.dicot,introduced,,,
Crassocephalum crepidioides,Asteraceae,3.dicot,introduced,1,,1
Cyanthillium cinereum,Asteraceae,3.dicot,native,,1,
Delairea odorata,Asteraceae,3.dicot,introduced,,,
Dittrichia graveolens,Asteraceae,3.dicot,introduced,,1,
Eclipta platyglossa,Asteraceae,3.dicot,native,1,,1
Erechtites valerianifolius,Asteraceae,3.dicot,introduced,1,,1
Erigeron bonariensis,Asteraceae,3.dicot,introduced,,,
Erigeron canadensis,Asteraceae,3.dicot,introduced,,,
Erigeron karvinskianus,Asteraceae,3.dicot,introduced,,1,
Erigeron sumatrensis,Asteraceae,3.dicot,introduced,1,,1
Euchiton involucratus,Asteraceae,3.dicot,native,1,,1
Euchiton japonicus,Asteraceae,3.dicot,native,,,
Euchiton sphaericus,Asteraceae,3.dicot,native,,1,
Euryops chrysanthemoides,Asteraceae,3.dicot,introduced,,1,
Facelis retusa,Asteraceae,3.dicot,introduced,,,
Galinsoga parviflora,Asteraceae,3.dicot,native,1,,1
Gamochaeta americana,Asteraceae,3.dicot,introduced,1,,1
Gamochaeta coarctata,Asteraceae,3.dicot,introduced,,,
Gamochaeta purpurea,Asteraceae,3.dicot,introduced,,,
Gymnocoronis spilanthoides,Asteraceae,3.dicot,introduced,1,1,
Hypochaeris glabra,Asteraceae,3.dicot,introduced,,,
Hypochaeris radicata,Asteraceae,3.dicot,introduced,,,
Lagenophora sublyrata,Asteraceae,3.dicot,native,,1,
Leptinella longipes,Asteraceae,3.dicot,native,1,,1
Olearia elliptica,Asteraceae,3.dicot,native,1,,
Olearia microphylla,Asteraceae,3.dicot,native,1,1,1
Olearia tomentosa,Asteraceae,3.dicot,native,,,
Olearia viscidula,Asteraceae,3.dicot,native,,,
Osteospermum moniliferum,Asteraceae,3.dicot,introduced,,,
Ozothamnus adnatus,Asteraceae,3.dicot,native,1,,1
Ozothamnus diosmifolius,Asteraceae,3.dicot,native,1,1,1
Plecostachys serpyllifolia,Asteraceae,3.dicot,introduced,1,,
Podolepis jaceoides,Asteraceae,3.dicot,native,1,,1
Pseudognaphalium luteoalbum,Asteraceae,3.dicot,native,1,,1
Senecio bipinnatisectus,Asteraceae,3.dicot,native,1,,1
Senecio diaschides,Asteraceae,3.dicot,native,1,,1
Senecio glastifolius,Asteraceae,3.dicot,introduced,1,,
Senecio hispidulus,Asteraceae,3.dicot,native,1,,1
Senecio linearifolius,Asteraceae,3.dicot,native,1,,1
Senecio madagascariensis,Asteraceae,3.dicot,introduced,,1,
Senecio minimus,Asteraceae,3.dicot,native,1,,1
Senecio pinnatifolius,Asteraceae,3.dicot,native,1,,1
Senecio prenanthoides,Asteraceae,3.dicot,native,1,,1
Senecio spathulatus,Asteraceae,3.dicot,native,1,,
Senecio vagus,Asteraceae,3.dicot,native,1,,1
Sigesbeckia orientalis,Asteraceae,3.dicot,native,1,1,1
Sonchus megalocarpus,Asteraceae,3.dicot,native,,1,
Sonchus oleraceus,Asteraceae,3.dicot,introduced,,,
Sphaeromorphaea australis,Asteraceae,3.dicot,native,1,,1
Symphyotrichum subulatum,Asteraceae,3.dicot,introduced,,,
Tagetes minuta,Asteraceae,3.dicot,introduced,,1,
Tanacetum vulgare,Asteraceae,3.dicot,introduced,1,,1
Taraxacum officinale,Asteraceae,3.dicot,introduced,,,
Vittadinia triloba,Asteraceae,3.dicot,native,,,
Wollastonia uniflora,Asteraceae,3.dicot,native,1,,1
Xanthium strumarium,Asteraceae,3.dicot,introduced,1,,1
Xerochrysum bracteatum,Asteraceae,3.dicot,native,1,1,1
Doryphora sassafras,Atherospermataceae,3.dicot,native,1,1,1
Anredera cordifolia,Basellaceae,3.dicot,introduced,1,,1
Begonia cucullata,Begoniaceae,3.dicot,introduced,,1,
Nandina domestica,Berberidaceae,3.dicot,introduced,,1,
Campsis × tagliabueana,Bignoniaceae,3.dicot,introduced,,1,
Pandorea pandorana,Bignoniaceae,3.dicot,native,1,1,1
Hackelia latifolia,Boraginaceae,3.dicot,native,1,,
Heliotropium amplexicaule,Boraginaceae,3.dicot,introduced,,1,
Cakile edentula,Brassicaceae,3.dicot,introduced,,,
Lepidium bonariense,Brassicaceae,3.dicot,introduced,,,
Lepidium pseudotasmanicum,Brassicaceae,3.dicot,native,1,,1
Rorippa gigantea,Brassicaceae,3.dicot,native,1,,1
Cabomba caroliniana,Cabombaceae,3.dicot,introduced,1,,
Opuntia stricta ,Cactaceae,3.dicot,introduced,,,
Isotoma fluviatilis ,Campanulaceae,3.dicot,native,,,
Lobelia anceps,Campanulaceae,3.dicot,native,1,1,1
Lobelia andrewsii,Campanulaceae,3.dicot,native,1,1,1
Lobelia concolor,Campanulaceae,3.dicot,native,,,
Lobelia dentata,Campanulaceae,3.dicot,native,1,1,1
Lobelia gibbosa,Campanulaceae,3.dicot,native,1,,1
Lobelia purpurascens,Campanulaceae,3.dicot,native,1,1,1
Lobelia simplicicaulis,Campanulaceae,3.dicot,native,1,,1
Wahlenbergia gracilis,Campanulaceae,3.dicot,native,1,,1
Wahlenbergia littoricola,Campanulaceae,3.dicot,native,1,,
Wahlenbergia stricta,Campanulaceae,3.dicot,native,1,,1
Celtis paniculata,Cannabaceae,3.dicot,native,1,,1
Trema tomentosa,Cannabaceae,3.dicot,native,1,1,1
Lonicera japonica,Caprifoliaceae,3.dicot,introduced,,1,
Citronella moorei,Cardiopteridaceae,3.dicot,native,1,,1
Arenaria leptoclados,Caryophyllaceae,3.dicot,introduced,,,
Cerastium glomeratum,Caryophyllaceae,3.dicot,introduced,,,
Paronychia brasiliana,Caryophyllaceae,3.dicot,introduced,,,
Polycarpon tetraphyllum,Caryophyllaceae,3.dicot,introduced,,1,
Sagina maritima,Caryophyllaceae,3.dicot,introduced,1,,1
Silene gallica,Caryophyllaceae,3.dicot,introduced,1,,1
Spergula arvensis,Caryophyllaceae,3.dicot,introduced,,,
Spergularia rubra,Caryophyllaceae,3.dicot,introduced,1,,
Stellaria flaccida,Caryophyllaceae,3.dicot,native,1,1,1
Stellaria media,Caryophyllaceae,3.dicot,introduced,,,
Allocasuarina distyla,Casuarinaceae,3.dicot,native,1,1,1
Allocasuarina littoralis,Casuarinaceae,3.dicot,native,1,1,1
Allocasuarina nana,Casuarinaceae,3.dicot,native,1,,1
Allocasuarina paludosa,Casuarinaceae,3.dicot,native,,,
Allocasuarina torulosa,Casuarinaceae,3.dicot,native,1,1,1
Allocasuarina verticillata,Casuarinaceae,3.dicot,native,1,1,1
Casuarina glauca,Casuarinaceae,3.dicot,native,1,,1
Celastrus subspicatus,Celastraceae,3.dicot,native,1,,1
Denhamia silvestris,Celastraceae,3.dicot,native,,,
Elaeodendron australe,Celastraceae,3.dicot,native,1,1,1
Stackhousia monogyna,Celastraceae,3.dicot,native,1,,1
Stackhousia nuda,Celastraceae,3.dicot,native,,,
Stackhousia viminea,Celastraceae,3.dicot,native,,1,
Calystegia marginata,Convolvulaceae,3.dicot,native,,,
Calystegia soldanella,Convolvulaceae,3.dicot,native,1,1,1
Convolvulus arvensis,Convolvulaceae,3.dicot,native,,,
Dichondra repens,Convolvulaceae,3.dicot,native,1,1,1
Ipomoea cairica,Convolvulaceae,3.dicot,introduced,1,,
Ipomoea indica,Convolvulaceae,3.dicot,introduced,,1,
Ipomoea pes-caprae,Convolvulaceae,3.dicot,native,1,1,1
Ipomoea purpurea,Convolvulaceae,3.dicot,introduced,,,
Polymeria calycina,Convolvulaceae,3.dicot,native,,1,
Wilsonia rotundifolia,Convolvulaceae,3.dicot,native,1,,
Crassula decumbens,Crassulaceae,3.dicot,native,1,,
Crassula multicava,Crassulaceae,3.dicot,introduced,,1,
Crassula peduncularis,Crassulaceae,3.dicot,native,1,,
Crassula sieberiana,Crassulaceae,3.dicot,native,1,,1
Crassula spathulata,Crassulaceae,3.dicot,introduced,1,,
Kalanchoe × houghtonii,Crassulaceae,3.dicot,introduced,,1,
Kalanchoe delagoensis,Crassulaceae,3.dicot,introduced,1,1,
Cucumis myriocarpus,Cucurbitaceae,3.dicot,introduced,,,
Bauera microphylla,Cunoniaceae,3.dicot,native,1,1,1
Bauera rubioides,Cunoniaceae,3.dicot,native,1,1,1
Callicoma serratifolia,Cunoniaceae,3.dicot,native,1,1,1
Ceratopetalum apetalum,Cunoniaceae,3.dicot,native,1,1,1
Ceratopetalum gummiferum,Cunoniaceae,3.dicot,native,1,1,1
Schizomeria ovata,Cunoniaceae,3.dicot,native,1,1,1
Hibbertia acicularis ,Dilleniaceae,3.dicot,native,,,
Hibbertia aspera,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia bracteata,Dilleniaceae,3.dicot,native,1,,1
Hibbertia dentata,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia empetrifolia,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia ericifolia,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia fasciculata,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia linearis,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia monogyna,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia nitida,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia obtusifolia,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia pedunculata,Dilleniaceae,3.dicot,native,,,
Hibbertia riparia,Dilleniaceae,3.dicot,native,,,
Hibbertia salicifolia,Dilleniaceae,3.dicot,native,1,,1
Hibbertia scandens,Dilleniaceae,3.dicot,native,1,1,1
Hibbertia stricta,Dilleniaceae,3.dicot,native,,1,
Drosera auriculata,Droseraceae,3.dicot,native,1,1,1
Drosera binata,Droseraceae,3.dicot,native,1,1,1
Drosera capensis,Droseraceae,3.dicot,introduced,1,,
Drosera hookeri,Droseraceae,3.dicot,native,1,,1
Drosera peltata,Droseraceae,3.dicot,native,1,1,1
Drosera pygmaea,Droseraceae,3.dicot,native,1,1,1
Drosera spatulata,Droseraceae,3.dicot,native,1,1,1
Diospyros australis,Ebenaceae,3.dicot,native,1,1,1
Diospyros pentamera,Ebenaceae,3.dicot,native,,,
Elaeocarpus reticulatus,Elaeocarpaceae,3.dicot,native,1,1,1
Sloanea australis,Elaeocarpaceae,3.dicot,native,1,,1
Tetratheca ericifolia,Elaeocarpaceae,3.dicot,native,1,,1
Tetratheca neglecta,Elaeocarpaceae,3.dicot,native,1,1,1
Tetratheca shiressii,Elaeocarpaceae,3.dicot,native,1,1,1
Tetratheca thymifolia,Elaeocarpaceae,3.dicot,native,1,1,
Elatine gratioloides,Elatinaceae,3.dicot,native,,1,
Acrotriche divaricata,Ericaceae,3.dicot,native,1,1,1
Brachyloma daphnoides,Ericaceae,3.dicot,native,1,1,1
Daboecia cantabrica,Ericaceae,3.dicot,introduced,,,
Dracophyllum secundum,Ericaceae,3.dicot,native,1,1,1
Epacris coriacea,Ericaceae,3.dicot,native,1,1,1
Epacris crassifolia,Ericaceae,3.dicot,native,,,
Epacris longiflora,Ericaceae,3.dicot,native,1,1,1
Epacris microphylla,Ericaceae,3.dicot,native,1,1,1
Epacris obtusifolia,Ericaceae,3.dicot,native,1,1,1
Epacris pulchella,Ericaceae,3.dicot,native,1,1,1
Epacris purpurascens,Ericaceae,3.dicot,native,1,,1
Erica lusitanica,Ericaceae,3.dicot,introduced,1,,
Leucopogon affinis,Ericaceae,3.dicot,native,1,1,1
Leucopogon amplexicaulis,Ericaceae,3.dicot,native,1,1,1
Leucopogon microphyllus,Ericaceae,3.dicot,native,1,1,1
Leucopogon parviflorus,Ericaceae,3.dicot,native,1,1,1
Leucopogon virgatus,Ericaceae,3.dicot,native,1,,1
Lissanthe strigosa,Ericaceae,3.dicot,native,1,1,1
Monotoca elliptica,Ericaceae,3.dicot,native,1,1,1
Monotoca ledifolia,Ericaceae,3.dicot,native,1,,1
Monotoca scoparia,Ericaceae,3.dicot,native,1,1,1
Sprengelia incarnata,Ericaceae,3.dicot,native,1,1,1
Stenanthera pinifolia,Ericaceae,3.dicot,native,1,1,1
Styphelia angustifolia,Ericaceae,3.dicot,native,1,,1
Styphelia ericoides,Ericaceae,3.dicot,native,1,1,1
Styphelia esquamata,Ericaceae,3.dicot,native,1,1,1
Styphelia exolasia,Ericaceae,3.dicot,native,,,
Styphelia humifusa,Ericaceae,3.dicot,native,1,,1
Styphelia laeta,Ericaceae,3.dicot,native,1,,1
Styphelia longifolia,Ericaceae,3.dicot,native,1,,1
Styphelia setigera,Ericaceae,3.dicot,native,1,1,1
Styphelia sieberi,Ericaceae,3.dicot,native,1,1,
Styphelia triflora,Ericaceae,3.dicot,native,1,1,1
Styphelia tubiflora,Ericaceae,3.dicot,native,1,1,1
Styphelia viridis,Ericaceae,3.dicot,native,1,1,1
Trochocarpa laurina,Ericaceae,3.dicot,native,1,1,1
Woollsia pungens,Ericaceae,3.dicot,native,1,1,1
Polyosma cunninghamii,Escalloniaceae,3.dicot,native,1,1,1
Amperea xiphoclada,Euphorbiaceae,3.dicot,native,1,1,1
Baloghia inophylla,Euphorbiaceae,3.dicot,native,,,
Bertya pomaderroides,Euphorbiaceae,3.dicot,native,1,,1
Claoxylon australe,Euphorbiaceae,3.dicot,native,1,,1
Euphorbia peplus,Euphorbiaceae,3.dicot,introduced,,1,
Homalanthus populifolius,Euphorbiaceae,3.dicot,native,,1,
Homalanthus stillingiifolius,Euphorbiaceae,3.dicot,native,1,,1
Monotaxis linifolia,Euphorbiaceae,3.dicot,native,1,,1
Pseudanthus divaricatissimus,Euphorbiaceae,3.dicot,native,1,,
Pseudanthus orientalis,Euphorbiaceae,3.dicot,native,,,
Pseudanthus pimeleoides,Euphorbiaceae,3.dicot,native,1,1,1
Ricinocarpos pinifolius,Euphorbiaceae,3.dicot,native,1,1,1
Ricinus communis,Euphorbiaceae,3.dicot,introduced,,,
Eupomatia laurina,Eupomatiaceae,3.dicot,native,1,1,1
Acacia baileyana,Fabaceae,3.dicot,introduced,,1,
Acacia baueri,Fabaceae,3.dicot,native,1,,1
Acacia binervata,Fabaceae,3.dicot,native,1,1,1
Acacia binervia,Fabaceae,3.dicot,native,,1,
Acacia brownii,Fabaceae,3.dicot,native,1,1,1
Acacia bynoeana,Fabaceae,3.dicot,native,1,,1
Acacia decurrens,Fabaceae,3.dicot,native,,1,
Acacia echinula,Fabaceae,3.dicot,native,1,1,1
Acacia elata,Fabaceae,3.dicot,native,1,,1
Acacia elongata,Fabaceae,3.dicot,native,1,1,1
Acacia falcata,Fabaceae,3.dicot,native,1,1,1
Acacia fimbriata,Fabaceae,3.dicot,native,1,1,1
Acacia floribunda,Fabaceae,3.dicot,native,1,1,1
Acacia hispidula,Fabaceae,3.dicot,native,,1,
Acacia implexa,Fabaceae,3.dicot,native,,,
Acacia irrorata,Fabaceae,3.dicot,native,1,1,1
Acacia linifolia,Fabaceae,3.dicot,native,1,1,1
Acacia longifolia,Fabaceae,3.dicot,native,1,1,1
Acacia longissima,Fabaceae,3.dicot,native,1,1,1
Acacia maidenii,Fabaceae,3.dicot,native,1,,1
Acacia mearnsii,Fabaceae,3.dicot,native,,1,
Acacia melanoxylon,Fabaceae,3.dicot,native,1,1,1
Acacia myrtifolia,Fabaceae,3.dicot,native,1,1,1
Acacia obtusifolia,Fabaceae,3.dicot,native,1,,1
Acacia parramattensis,Fabaceae,3.dicot,native,1,1,1
Acacia podalyriifolia,Fabaceae,3.dicot,introduced,,1,
Acacia pycnantha,Fabaceae,3.dicot,introduced,1,,1
Acacia saligna,Fabaceae,3.dicot,introduced,,,
Acacia schinoides,Fabaceae,3.dicot,native,1,,1
Acacia stricta,Fabaceae,3.dicot,native,1,1,1
Acacia suaveolens,Fabaceae,3.dicot,native,1,1,1
Acacia terminalis,Fabaceae,3.dicot,native,1,1,1
Acacia ulicifolia,Fabaceae,3.dicot,native,1,1,1
Almaleea paludosa,Fabaceae,3.dicot,native,1,,1
Aotus ericoides,Fabaceae,3.dicot,native,1,1,1
Bossiaea ensata,Fabaceae,3.dicot,native,1,1,1
Bossiaea heterophylla,Fabaceae,3.dicot,native,1,1,1
Bossiaea obcordata,Fabaceae,3.dicot,native,1,,1
Bossiaea prostrata,Fabaceae,3.dicot,native,1,,
Bossiaea rhombifolia,Fabaceae,3.dicot,native,1,,1
Bossiaea scolopendria,Fabaceae,3.dicot,native,1,1,1
