accepted_name,family,broader,establishment_means,park_list,voucher_exists,iNat_RG_record_exists
Asplenium australasicum,Aspleniaceae,1.ferns/primitive,native,1,1,1
Asplenium flabellifolium,Aspleniaceae,1.ferns/primitive,native,1,1,1
Asplenium polyodon,Aspleniaceae,1.ferns/primitive,native,1,,1
Diplazium australe,Athyriaceae,1.ferns/primitive,native,1,,1
Blechnum ambiguum,Blechnaceae,1.ferns/primitive,native,1,1,1
Blechnum camfieldii,Blechnaceae,1.ferns/primitive,native,,,
Blechnum minus,Blechnaceae,1.ferns/primitive,native,,,
Blechnum nudum,Blechnaceae,1.ferns/primitive,native,1,1,1
Blechnum patersonii,Blechnaceae,1.ferns/primitive,native,1,1,1
Blechnum wattsii,Blechnaceae,1.ferns/primitive,native,1,1,1
Doodia aspera,Blechnaceae,1.ferns/primitive,native,1,1,1
Doodia caudata,Blechnaceae,1.ferns/primitive,native,1,1,1
Oceaniopteris cartilaginea,Blechnaceae,1.ferns/primitive,native,1,1,1
Telmatoblechnum indicum,Blechnaceae,1.ferns/primitive,native,,1,
Cyathea australis,Cyatheaceae,1.ferns/primitive,native,1,1,1
Sphaeropteris australis,Cyatheaceae,1.ferns/primitive,native,1,,1
Sphaeropteris cooperi,Cyatheaceae,1.ferns/primitive,native,1,1,1
Davallia solida,Davalliaceae,1.ferns/primitive,native,1,,1
Dennstaedtia davallioides,Dennstaedtiaceae,1.ferns/primitive,native,1,,1
Histiopteris incisa,Dennstaedtiaceae,1.ferns/primitive,native,1,1,1
Hypolepis glandulifera,Dennstaedtiaceae,1.ferns/primitive,native,1,,1
Hypolepis muelleri,Dennstaedtiaceae,1.ferns/primitive,native,1,1,1
Pteridium esculentum,Dennstaedtiaceae,1.ferns/primitive,native,1,1,1
Calochlaena dubia,Dicksoniaceae,1.ferns/primitive,native,1,1,1
Cyrtomium falcatum,Dryopteridaceae,1.ferns/primitive,introduced,1,1,
Lastreopsis decomposita,Dryopteridaceae,1.ferns/primitive,native,1,,1
Parapolystichum acuminatum,Dryopteridaceae,1.ferns/primitive,native,1,,1
Parapolystichum microsorum,Dryopteridaceae,1.ferns/primitive,native,1,,1
Polystichum australiense,Dryopteridaceae,1.ferns/primitive,native,1,1,1
Polystichum proliferum,Dryopteridaceae,1.ferns/primitive,native,1,1,1
Dicranopteris linearis,Gleicheniaceae,1.ferns/primitive,native,1,,1
Gleichenia dicarpa,Gleicheniaceae,1.ferns/primitive,native,1,1,1
Gleichenia microphylla,Gleicheniaceae,1.ferns/primitive,native,1,1,1
Gleichenia rupestris,Gleicheniaceae,1.ferns/primitive,native,1,1,1
Sticherus flabellatus,Gleicheniaceae,1.ferns/primitive,native,1,1,1
Sticherus lobatus,Gleicheniaceae,1.ferns/primitive,native,1,,1
Hymenophyllum cupressiforme,Hymenophyllaceae,1.ferns/primitive,native,1,1,1
Lindsaea linearis,Lindsaeaceae,1.ferns/primitive,native,1,1,1
Lindsaea microphylla,Lindsaeaceae,1.ferns/primitive,native,1,1,1
Lateristachys lateralis,Lycopodiaceae,1.ferns/primitive,native,,1,
Lycopodium deuterodensum,Lycopodiaceae,1.ferns/primitive,native,1,1,1
Palhinhaea cernua,Lycopodiaceae,1.ferns/primitive,native,1,,1
Nephrolepis cordifolia,Nephrolepidaceae,1.ferns/primitive,introduced,,1,
Botrychium australe,Ophioglossaceae,1.ferns/primitive,native,,1,
Ophioglossum lusitanicum,Ophioglossaceae,1.ferns/primitive,native,1,,1
Todea barbara,Osmundaceae,1.ferns/primitive,native,1,1,1
Dictymia brownii,Polypodiaceae,1.ferns/primitive,native,1,,1
Microsorum pustulatum,Polypodiaceae,1.ferns/primitive,native,1,,1
Microsorum scandens,Polypodiaceae,1.ferns/primitive,native,1,1,1
Notogrammitis billardierei,Polypodiaceae,1.ferns/primitive,native,1,,1
Platycerium bifurcatum,Polypodiaceae,1.ferns/primitive,native,,1,
Platycerium superbum,Polypodiaceae,1.ferns/primitive,introduced,,1,
Pyrrosia rupestris,Polypodiaceae,1.ferns/primitive,native,1,1,1
Psilotum nudum,Psilotaceae,1.ferns/primitive,native,1,1,1
Tmesipteris truncata,Psilotaceae,1.ferns/primitive,native,,,
Adiantum aethiopicum,Pteridaceae,1.ferns/primitive,native,1,1,1
Adiantum formosum,Pteridaceae,1.ferns/primitive,native,1,1,1
Adiantum hispidulum,Pteridaceae,1.ferns/primitive,native,1,1,1
Adiantum raddianum,Pteridaceae,1.ferns/primitive,introduced,1,,
Adiantum silvaticum,Pteridaceae,1.ferns/primitive,native,1,,1
Cheilanthes distans,Pteridaceae,1.ferns/primitive,native,1,,1
Cheilanthes sieberi,Pteridaceae,1.ferns/primitive,native,,1,
Pellaea falcata,Pteridaceae,1.ferns/primitive,native,1,1,1
Pteris tremula,Pteridaceae,1.ferns/primitive,native,1,1,1
Pteris umbrosa,Pteridaceae,1.ferns/primitive,native,1,,1
Pteris vittata,Pteridaceae,1.ferns/primitive,native,,1,
Schizaea bifida,Schizaeaceae,1.ferns/primitive,native,1,1,1
Schizaea dichotoma,Schizaeaceae,1.ferns/primitive,native,1,,1
Schizaea rupestris,Schizaeaceae,1.ferns/primitive,native,1,,1
Selaginella kraussiana,Selaginellaceae,1.ferns/primitive,introduced,,1,
Selaginella uliginosa,Selaginellaceae,1.ferns/primitive,native,1,1,1
Arthropteris beckleri,Tectariaceae,1.ferns/primitive,native,,,
Arthropteris tenella,Tectariaceae,1.ferns/primitive,native,1,,1
Cyclosorus interruptus,Thelypteridaceae,1.ferns/primitive,native,,,
Macrozamia communis,Zamiaceae,1.ferns/primitive,native,1,1,
Macrozamia spiralis,Zamiaceae,1.ferns/primitive,native,1,1,
Araucaria cunninghamii,Araucariaceae,2.gymnosperm,introduced,,1,
Callitris muelleri,Cupressaceae,2.gymnosperm,native,1,,1
Callitris rhomboidea,Cupressaceae,2.gymnosperm,native,1,1,1
Pinus radiata,Pinaceae,2.gymnosperm,introduced,,,
Podocarpus spinulosus,Podocarpaceae,2.gymnosperm,native,1,1,1
Avicennia marina,Acanthaceae,3.dicot,native,,1,
Brunoniella pumilio,Acanthaceae,3.dicot,native,,1,
Pseuderanthemum variabile,Acanthaceae,3.dicot,native,1,1,1
Thunbergia alata,Acanthaceae,3.dicot,introduced,1,1,1
Carpobrotus aequilaterus,Aizoaceae,3.dicot,introduced,,,
Carpobrotus glaucescens,Aizoaceae,3.dicot,native,1,1,
Tetragonia tetragonoides,Aizoaceae,3.dicot,native,,1,
Alternanthera denticulata,Amaranthaceae,3.dicot,native,1,,1
Atriplex prostrata,Amaranthaceae,3.dicot,introduced,,,
Chenopodium nutans,Amaranthaceae,3.dicot,native,,,
Chenopodium robertianum,Amaranthaceae,3.dicot,native,,,
Chenopodium trigonon,Amaranthaceae,3.dicot,native,1,,1
Deeringia amaranthoides,Amaranthaceae,3.dicot,native,1,,1
Dysphania ambrosioides,Amaranthaceae,3.dicot,introduced,,,
Gomphrena celosioides,Amaranthaceae,3.dicot,introduced,1,,
Rhagodia candolleana,Amaranthaceae,3.dicot,native,1,,1
Salicornia quinqueflora,Amaranthaceae,3.dicot,native,,1,
Suaeda australis,Amaranthaceae,3.dicot,native,1,1,1
Euroschinus falcatus,Anacardiaceae,3.dicot,native,1,,1
Aphanopetalum resinosum,Aphanopetalaceae,3.dicot,native,1,1,1
Actinotus helianthi,Apiaceae,3.dicot,native,1,1,1
Actinotus minor,Apiaceae,3.dicot,native,1,1,1
Apium prostratum,Apiaceae,3.dicot,native,1,,1
Centella asiatica,Apiaceae,3.dicot,native,1,,1
Centella cordifolia,Apiaceae,3.dicot,native,1,,1
Cyclospermum leptophyllum,Apiaceae,3.dicot,introduced,1,1,
Daucus glochidiatus,Apiaceae,3.dicot,native,,,
Foeniculum vulgare,Apiaceae,3.dicot,introduced,,,
Lilaeopsis polyantha,Apiaceae,3.dicot,native,1,,
Platysace ericoides,Apiaceae,3.dicot,native,1,1,1
Platysace lanceolata,Apiaceae,3.dicot,native,1,1,1
Platysace linearifolia,Apiaceae,3.dicot,native,1,1,1
Platysace stephensonii,Apiaceae,3.dicot,native,1,1,1
Xanthosia pilosa,Apiaceae,3.dicot,native,1,1,1
Xanthosia tridentata,Apiaceae,3.dicot,native,,1,
Araujia sericifera,Apocynaceae,3.dicot,introduced,,1,
Asclepias curassavica,Apocynaceae,3.dicot,introduced,,1,
Gomphocarpus fruticosus,Apocynaceae,3.dicot,introduced,1,1,
Gomphocarpus physocarpus,Apocynaceae,3.dicot,introduced,,1,
Leichhardtia flavescens,Apocynaceae,3.dicot,native,1,,1
Leichhardtia rostrata,Apocynaceae,3.dicot,native,,1,
Leichhardtia suaveolens,Apocynaceae,3.dicot,native,1,1,
Melodinus australis,Apocynaceae,3.dicot,native,1,,1
Nerium oleander,Apocynaceae,3.dicot,introduced,,1,
Parsonsia straminea,Apocynaceae,3.dicot,native,1,1,1
Vinca major,Apocynaceae,3.dicot,introduced,,1,
Vincetoxicum barbatum,Apocynaceae,3.dicot,native,1,1,
Astrotricha crassifolia,Araliaceae,3.dicot,native,1,,1
Cephalaralia cephalobotrys,Araliaceae,3.dicot,native,,,
Hydrocotyle acutiloba,Araliaceae,3.dicot,native,1,,1
Hydrocotyle bonariensis,Araliaceae,3.dicot,introduced,1,1,1
Hydrocotyle geraniifolia,Araliaceae,3.dicot,native,1,1,1
Hydrocotyle hirta,Araliaceae,3.dicot,native,1,1,
Hydrocotyle laxiflora,Araliaceae,3.dicot,native,,,
Hydrocotyle sibthorpioides,Araliaceae,3.dicot,native,,,
Hydrocotyle tripartita,Araliaceae,3.dicot,native,1,1,1
Polyscias elegans,Araliaceae,3.dicot,native,1,,1
Polyscias murrayi,Araliaceae,3.dicot,native,1,,1
Polyscias sambucifolia,Araliaceae,3.dicot,native,1,1,1
Trachymene incisa,Araliaceae,3.dicot,native,1,,1
Acanthospermum australe,Asteraceae,3.dicot,introduced,1,1,1
Ageratina adenophora,Asteraceae,3.dicot,introduced,1,1,
Ageratina riparia,Asteraceae,3.dicot,introduced,1,1,1
Arctotheca calendula,Asteraceae,3.dicot,introduced,,,
Arctotheca populifolia,Asteraceae,3.dicot,introduced,1,,1
Arrhenechthites mixtus,Asteraceae,3.dicot,native,1,,1
Bartlettina sordida,Asteraceae,3.dicot,introduced,,1,
Bidens alba,Asteraceae,3.dicot,introduced,,1,
Bidens pilosa,Asteraceae,3.dicot,introduced,,,
Brachyscome graminea,Asteraceae,3.dicot,native,,1,
Calomeria amaranthoides ,Asteraceae,3.dicot,native,1,,1
Cassinia aculeata,Asteraceae,3.dicot,native,1,,1
Cassinia aureonitens,Asteraceae,3.dicot,native,1,1,1
Cassinia denticulata,Asteraceae,3.dicot,native,1,1,1
Cassinia longifolia,Asteraceae,3.dicot,native,1,,1
Cassinia trinerva,Asteraceae,3.dicot,native,1,,1
Centipeda minima ,Asteraceae,3.dicot,native,,,
Cichorium intybus,Asteraceae,3.dicot,introduced,,,
